Name,Price,Rating
Lancaster Accra,"NGN 137,200",7.6
Accra Luxury Homes @ East Legon,"NGN 78,719",9.6
Ibis Styles Accra Airport,"NGN 113,190",7.3
Villa Monticello Boutique Hotel,"NGN 220,412",8.0
Airport View Hotel,"NGN 100,924",7.2
Golden Crystal Experience Hotel,"NGN 48,106",8.1
Maple Leaf Hotel,"NGN 59,309",7.0
Accra Luxury Apartments,"NGN 80,245",9.2
"Number One Oxford Street Hotel & Suites, a member of Radisson Individuals","NGN 212,660",7.8
Lovely 1 bedroom with pool at cantonments.,"NGN 115,763",
A beautiful house off the Spintex Road Accra,"NGN 40,062",
Amber City Ghana Luxury Apartments,"NGN 104,958",
"Lovely, serene 3 bedroom with a pool @ cantonments","NGN 176,774",
Accra City Hotel,"NGN 124,346",7.9
Mövenpick Ambassador Hotel Accra,"NGN 211,014",8.0
Accra Luxury Apartments @ The Gardens,"NGN 154,350",8.9
"Holiday Inn Accra Airport, an IHG Hotel","NGN 208,180",7.0
THE W RESIDENCES,"NGN 55,738",8.6
Nana's Holiday Let,"NGN 23,153",8.9
Embassy Gardens Luxury Apartments,"NGN 76,318",8.1
ELLISA HOSPITALITY,"NGN 34,300",7.1
"Kwarleyz Residence, Accra","NGN 246,960",8.5
D'avenue Boutique Hotel Accra,"NGN 154,350",8.6
Eastoment Hotel,"NGN 75,460",8.1
The Congress Hotel,"NGN 65,770",6.8
The Congress Hotel,"NGN 65,770",6.8
The Alima Suites,"NGN 94,325",8.9
somewhere nice,"NGN 50,884",8.6
Kempinski Hotel Gold Coast City,"NGN 276,115",8.3
Jaria Apartments,"NGN 77,175",8.1
Maxwell Court Apartments,"NGN 81,463",7.7
Stonehedge Place,"NGN 87,465",7.1
Rentam Studio - Embassy Gardens,"NGN 85,750",9.6
Fiesta Royale Hotel,"NGN 186,764",8.2
Detouz Lodging,"NGN 36,873",8.7
Detouz Lodging,"NGN 36,873",
Omanye Lodge,"NGN 24,868",6.4
TINADOR AIREB&B,"NGN 58,310",
The Gallery Luxury Apartments,"NGN 70,315",7.9
